"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Municipality ID","Municipality","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.7142857313156128,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19026,"Guadalupe",5,0,4,0.5714285969734192,0,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19039,"Monterrey",20,2,12.285714149475098,2.142857074737549,0.1778038591146469,1.778038501739502,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,1,3.5714285373687744,0.4285714328289032,0.21089793741703033,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0.1428571492433548,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.8571428060531616,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19026,"Guadalupe",8,3,5,1,0.42228958010673523,1.126105546951294,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19039,"Monterrey",21,1,14.285714149475098,2,0.08890192955732346,1.8669404983520508,0,"solid"
2020,1,"Q1",3,"2020-03",23,20200323,"2020-03-23","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",5,0,4,0.4285714328289032,0,1.0544897317886353,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,2,0,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,2,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19026,"Guadalupe",9,1,5.714285850524902,0.7142857313156128,0.14076319336891174,1.2668687105178833,0,"solid"
2020,1,"Q1",3,"2020-03",24,20200324,"2020-03-24","mex","México",19,"Nuevo León",19039,"Monterrey",22,1,16.428571701049805,2.142857074737549,0.08890192955732346,1.95584237575531,0,"solid"
